pos	x	lambda
31970	142	139.11920529801324
31977	139	140.79470198675497
31993	136	143.0728476821192
31998	141	143.3774834437086
32002	145	143.4503311258278
32007	154	143.82119205298014
32032	156	146.83443708609272
32068	135	151.35099337748343
32072	136	152.1523178807947
32084	156	153.5430463576159
32088	156	153.03973509933775
32094	152	152.5562913907285
32097	155	153.09933774834437
32135	164	159.72847682119206
32179	163	176.7814569536424
32208	207	185.72185430463577
32215	205	187.67549668874173
32229	207	189.41721854304635
32231	202	189.53642384105962
32273	204	191.74172185430464
32277	205	190.7682119205298
32280	206	190.05960264900662
32283	206	189.19205298013244
32301	187	184.65562913907286
32319	180	183.09271523178808
32333	153	183.02649006622516
32337	155	183.35761589403972
32351	152	184.16556291390728
32353	160	184.58940397350995
32355	163	185.13907284768212
32381	188	197.89403973509934
32388	200	204.52980132450332
32394	198	210.24503311258277
32401	199	216.5430463576159
32409	207	224.9205298013245
32415	199	231.35761589403972
32464	320	281.0993377483444
32474	315	289.317880794702
32478	311	292.1523178807947
32481	312	294.158940397351
32483	319	295.3841059602649
32486	319	297.0198675496689
32490	319	299.0132450331126
32507	328	302.2119205298013
32523	324	297.3112582781457
32528	321	293.8079470198675
32530	321	292.11920529801324
32533	321	289.3245033112583
32535	322	287.3973509933775
32548	318	271.0662251655629
32550	308	268.50993377483445
32553	307	264.72847682119203
32560	289	256.17218543046357
32571	257	242.03973509933775
32591	205	215.35761589403972
32595	199	210.66225165562915
32617	128	186.1456953642384
32641	123	164.11258278145695
32653	119	156.27814569536423
32662	130	150.79470198675497
32686	158	144.19867549668874
32690	159	144.3841059602649
32737	150	131.0728476821192
33556	276	252.56953642384107
33569	297	262.6291390728477
33576	293	270.1523178807947
33579	283	273.8079470198675
33585	279	281.1523178807947
33587	281	283.6953642384106
33589	285	286.2317880794702
33595	297	293.11920529801324
33597	296	295.3576158940397
33610	288	309.82781456953643
33616	289	316.58940397350995
33621	270	322.49668874172187
33623	269	324.81456953642385
33625	268	327.04635761589407
33627	261	329.10596026490066
33630	256	332.02649006622516
33637	257	338.4172185430464
33652	365	352.27814569536423
33666	400	366.72185430463577
33668	400	368.7086092715232
33676	415	376.5827814569536
33680	417	380.4834437086093
33688	419	387.6225165562914
33690	428	389.5496688741722
33693	432	391.8543046357616
33700	428	397.9337748344371
33703	426	400.8675496688742
33714	422	410.8543046357616
33720	442	413.3245033112583
33722	442	413.7086092715232
33724	438	413.6953642384106
33726	434	413.55629139072846
33729	438	413.03973509933775
33746	438	405.9006622516556
33748	438	404.36423841059604
33751	428	402.0
33755	423	397.58940397350995
33758	422	394.1324503311258
33760	425	391.9801324503311
33765	425	386.58940397350995
33775	413	376.33112582781456
33777	413	374.7417218543046
33780	400	372.3377483443709
33795	360	363.0331125827815
33797	351	361.6026490066225
33836	244	332.29801324503313
33842	270	329.34437086092714
33870	332	332.0927152317881
33873	330	334.28476821192055
33886	325	346.317880794702
33889	320	349.4635761589404
33891	319	352.13907284768214
33895	314	358.5629139072848
33898	313	363.7549668874172
33900	316	367.2317880794702
33915	347	397.6622516556291
33917	356	401.25165562913907
33923	344	413.78145695364236
33925	356	417.80132450331126
33939	446	445.8211920529801
33946	457	459.8344370860927
33949	475	465.8543046357616
33955	491	477.18543046357615
33958	488	482.6622516556291
33976	557	521.3907284768212
33980	566	530.1258278145696
33983	565	536.5033112582781
33997	592	562.4503311258278
34005	613	575.3443708609271
34015	637	587.9139072847682
34031	600	599.3774834437086
34039	647	603.0397350993378
34042	653	603.6953642384105
34049	649	601.8741721854304
34054	639	600.3509933774834
34056	645	599.7417218543046
34061	637	598.5894039735099
34066	608	597.225165562914
34081	626	589.9470198675497
34084	619	587.6754966887418
34088	623	584.3443708609271
34091	606	581.5695364238411
34108	555	565.7615894039735
34110	560	563.7086092715232
34114	557	558.6688741721854
34129	515	531.4966887417219
34134	534	521.9602649006622
34138	524	514.0397350993378
34146	521	499.58940397350995
34150	523	492.7086092715232
34154	513	485.5165562913907
34162	494	469.82781456953643
34164	497	465.682119205298
34168	487	457.5165562913907
34171	488	451.4569536423841
34190	427	418.7549668874172
34203	362	396.5364238410596
34205	362	393.1788079470199
34216	336	373.78145695364236
34222	355	364.36423841059604
34225	352	359.6225165562914
34227	351	356.56953642384104
34239	312	339.7615894039735
34241	306	336.94701986754967
34251	311	323.6291390728477
34266	286	305.2913907284768
34268	275	303.1324503311258
34279	264	295.71523178807945
34287	259	290.02649006622516
34289	267	288.50993377483445
34291	270	286.88079470198676
34293	274	285.2582781456954
34295	272	283.50331125827813
34299	278	279.73509933774835
34301	288	277.70198675496687
34303	291	275.6754966887417
34312	289	267.20529801324506
34314	288	265.6026490066225
34320	288	261.1920529801325
34325	287	257.26490066225165
34328	285	254.50331125827816
34345	261	238.57615894039736
34347	261	237.12582781456953
34367	217	218.66225165562915
34374	206	211.10596026490066
34400	175	178.57615894039736
34406	163	171.02649006622516
34408	165	168.6291390728477
34413	157	163.05960264900662
34432	116	143.25165562913907
34435	119	140.33774834437085
34443	109	133.52980132450332
34496	101	95.50331125827815
34856	124	100.66887417218543
34863	127	100.98675496688742
34865	127	101.11258278145695
34892	119	100.26490066225166
35253	283	264.5364238410596
35255	284	268.28476821192055
35261	300	278.12582781456956
35276	339	305.73509933774835
35286	337	324.19867549668874
35289	333	329.4370860927152
35291	329	333.112582781457
35295	337	340.5430463576159
35302	346	353.2317880794702
35305	330	358.88079470198676
35313	336	373.41059602649005
35317	326	380.71523178807945
35323	348	392.55629139072846
35326	352	398.2450331125828
35328	359	402.0198675496689
35350	442	440.1920529801325
35367	497	469.8211920529801
35379	523	488.17218543046357
35381	532	491.2582781456954
35383	530	494.3973509933775
35394	554	510.5430463576159
35397	562	514.7549668874173
35407	558	525.3311258278146
35414	557	532.8145695364238
35421	589	536.0596026490066
35428	603	537.615894039735
35433	603	539.5033112582781
35436	600	540.5695364238411
35439	591	541.5099337748344
35452	577	545.8013245033112
35456	562	546.7814569536424
35459	548	547.2847682119206
35462	547	547.6092715231788
35464	557	547.5165562913908
35469	553	546.5298013245033
35472	533	545.5364238410596
35477	512	544.7152317880794
35480	520	544.3576158940398
35482	519	544.1655629139073
35485	508	544.0993377483444
35487	504	543.9536423841059
35489	503	543.8013245033112
35491	500	543.6953642384105
35499	483	541.8940397350993
35501	465	541.3907284768212
35507	505	539.225165562914
35510	516	538.1854304635762
35515	520	536.5033112582781
35518	549	535.2649006622516
35524	544	533.0728476821192
35526	548	532.0596026490066
35528	559	530.8874172185431
35534	554	526.8476821192053
35542	506	520.0860927152318
35544	504	518.1059602649007
35546	505	516.1788079470199
35563	546	503.86092715231786
35566	550	502.25165562913907
35571	554	500.3245033112583
35575	554	498.9006622516556
35577	551	498.1324503311258
35582	550	495.9933774834437
35584	551	495.2317880794702
35587	548	493.94039735099335
35596	514	488.5629139072848
35604	489	484.3377483443709
35610	443	480.70198675496687
35612	431	479.7880794701987
35616	409	478.71523178807945
35619	407	477.9933774834437
35622	399	477.17218543046357
35650	413	460.43046357615896
35652	415	459.4172185430464
35658	452	456.8079470198675
35662	449	454.8675496688742
35668	437	452.1655629139073
35673	474	450.682119205298
35677	467	449.8543046357616
35683	469	448.05298013245033
35687	472	447.03973509933775
35690	472	446.317880794702
35694	468	445.27814569536423
35698	456	443.94039735099335
35710	457	438.3907284768212
35715	456	435.49668874172187
35717	455	434.20529801324506
35726	479	427.66887417218544
35729	480	424.9205298013245
35746	474	408.3774834437086
35765	384	386.9006622516556
35770	365	382.41059602649005
35790	327	366.6622516556291
35793	327	363.9801324503311
35809	287	346.8675496688742
35811	299	344.50331125827813
35813	300	342.05298013245033
35815	299	339.44370860927154
35824	303	327.3046357615894
35828	300	322.3112582781457
35846	331	309.158940397351
35853	337	306.4701986754967
35870	315	298.7880794701987
35879	312	295.3973509933775
35904	275	293.9337748344371
35916	300	299.1655629139073
35932	285	304.97350993377484
35943	242	313.27814569536423
35945	238	314.9801324503311
35947	238	316.6291390728477
35950	234	319.21854304635764
35959	264	327.71523178807945
35968	286	337.8543046357616
35984	357	356.27152317880797
35988	360	360.0066225165563
36028	452	401.4172185430464
36033	459	407.8543046357616
36040	456	416.9867549668874
36046	460	425.82781456953643
36048	456	428.9205298013245
36057	437	440.9337748344371
36066	437	453.6026490066225
36069	435	457.6291390728477
36071	437	460.3973509933775
36073	437	463.20529801324506
36075	440	466.0794701986755
36081	406	473.7417218543046
36094	448	486.1788079470199
36098	446	489.4039735099338
36104	453	493.5430463576159
36118	504	501.6291390728477
36126	533	505.1655629139073
36130	535	506.841059602649
36133	551	508.112582781457
36137	576	509.7748344370861
36139	584	510.4370860927152
36147	579	511.3112582781457
36163	593	507.6754966887417
36180	548	488.2384105960265
36190	547	470.7748344370861
36207	504	428.96026490066225
36234	354	345.6291390728477
36246	269	306.3576158940397
36268	156	238.46357615894038
36569	266	213.80794701986756
36595	294	242.33112582781456
36604	297	246.3841059602649
36611	301	249.60264900662253
36641	269	253.66225165562915
36659	202	253.74834437086093
36668	199	252.80794701986756
36674	186	252.0794701986755
36683	223	251.35099337748343
36713	268	248.82781456953643
36769	297	277.7549668874172
36780	287	289.94701986754967
36797	275	308.8675496688742
36799	280	311.1920529801325
36802	282	314.63576158940396
36807	277	320.6026490066225
36809	279	322.95364238410593
36811	288	325.25165562913907
36819	262	335.9072847682119
36821	254	338.8211920529801
36832	316	355.2913907284768
36835	326	359.841059602649
36837	341	363.0331125827815
36840	343	367.6026490066225
36844	332	373.29801324503313
36848	356	378.74834437086093
36859	421	395.3245033112583
36861	415	399.112582781457
36870	440	415.11920529801324
36875	456	422.33112582781456
36877	459	424.92715231788077
36895	492	438.50993377483445
36897	496	440.3774834437086
36905	516	447.5430463576159
36912	515	449.9867549668874
36920	507	453.65562913907286
36927	515	455.41059602649005
36930	516	455.3576158940397
36942	526	453.57615894039736
36951	478	450.10596026490066
36958	422	446.3377483443709
36962	370	444.21854304635764
36973	410	437.55629139072846
36976	415	435.4701986754967
36980	382	432.3907284768212
36989	409	425.1655629139073
36992	407	422.72185430463577
36999	387	416.6754966887417
37001	396	414.7880794701987
37003	408	412.7549668874172
37006	406	409.58940397350995
37014	395	399.6291390728477
37019	395	393.05960264900665
37022	390	389.1655629139073
37024	387	386.66887417218544
37028	379	381.79470198675494
37034	381	375.29801324503313
37046	396	366.1655629139073
37048	394	364.1523178807947
37061	394	349.0662251655629
37071	372	331.65562913907286
37081	356	311.47682119205297
37103	294	265.29801324503313
37147	103	168.53642384105962
37493	159	160.98675496688742
37516	156	172.58940397350995
37538	155	186.6887417218543
37577	225	211.94701986754967
37581	225	213.71523178807948
37585	221	215.50993377483445
37615	277	230.02649006622516
37641	247	238.52317880794703
37660	232	238.9271523178808
37673	222	238.5496688741722
37677	229	238.0728476821192
37679	233	237.67549668874173
37688	233	235.32450331125827
37692	236	234.0066225165563
37701	240	230.28476821192052
37719	221	224.95364238410596
37728	228	224.34437086092714
37763	231	207.0728476821192
37767	224	204.47019867549668
37780	215	192.67549668874173
37793	214	182.12582781456953
37828	135	156.35761589403972
37866	103	137.58278145695365
37884	114	130.74172185430464
37919	148	128.18543046357615
37967	147	121.93377483443709
38173	107	109.87417218543047
38184	109	117.74834437086092
38211	122	138.47682119205297
38214	121	140.80132450331126
38243	175	158.48344370860926
38278	202	172.52980132450332
38284	203	174.25165562913907
38286	201	174.6291390728477
38314	168	171.35761589403972
38319	176	169.6158940397351
38321	174	168.98013245033113
38323	174	168.2251655629139
38325	173	167.47019867549668
38328	176	166.33774834437085
38332	176	164.80132450331126
38334	174	163.98013245033113
38337	174	162.66887417218544
38350	152	156.7682119205298
38353	157	155.23841059602648
38373	122	144.5496688741722
38378	126	142.33774834437085
38398	130	135.74172185430464
38454	126	115.1456953642384
38463	128	111.50993377483444
39264	463	367.35099337748346
39299	463	402.2119205298013
39309	432	402.52317880794703
39311	431	402.5165562913907
39317	415	401.4834437086093
39319	403	401.0331125827815
39321	404	400.50993377483445
39325	384	399.25165562913907
39331	364	396.3907284768212
39338	314	391.2450331125828
39343	351	387.1655629139073
39374	359	353.3774834437086
39376	360	350.8079470198675
39395	354	324.7880794701987
39433	315	277.66887417218544
39466	223	240.19205298013244
39470	212	236.6887417218543
39480	195	229.25827814569536
39482	190	227.9337748344371
39487	161	224.64238410596028
39516	150	211.3841059602649
39518	154	210.6291390728477
39532	194	207.9933774834437
39535	199	208.10596026490066
39573	256	209.9337748344371
39615	229	185.74834437086093
39621	216	181.23841059602648
39630	200	174.49668874172184
39640	172	166.3708609271523
39642	173	164.73509933774835
39722	126	110.91390728476821
40025	104	96.76821192052981
40028	106	96.26490066225166
40191	110	93.59602649006622
40239	106	95.21854304635761
40248	102	94.12582781456953
41092	109	90.0
41100	112	94.55629139072848
41174	124	99.98013245033113
41183	122	95.73509933774834
42278	106	140.72847682119206
42281	105	143.21192052980132
42285	105	146.50993377483445
42288	107	148.83443708609272
42315	151	174.6225165562914
42318	154	178.17880794701986
42320	161	180.57615894039736
42361	244	233.2980132450331
42380	295	252.27152317880794
42428	302	254.74172185430464
42455	228	245.57615894039736
42459	213	244.01986754966887
42470	175	239.88079470198676
42489	183	231.90066225165563
42514	209	224.66887417218544
42523	194	223.6953642384106
42556	249	233.98013245033113
42607	248	215.47682119205297
42610	251	212.78807947019868
42613	252	209.9337748344371
42618	256	204.96688741721854
42630	230	193.0066225165563
43066	115	102.43046357615894
43119	118	118.17218543046357
43122	118	119.31788079470199
43159	106	142.66225165562915
43173	134	155.76158940397352
43177	140	159.98013245033113
43179	145	162.18543046357615
43182	149	165.72847682119206
43184	148	168.10596026490066
43186	148	170.47019867549668
43212	204	200.35099337748343
43214	209	202.66887417218544
43224	214	214.26490066225165
43251	274	235.4569536423841
43267	296	239.86754966887418
43288	285	236.7019867549669
43314	241	218.89403973509934
43316	227	217.19867549668874
43350	162	191.03973509933775
43353	159	190.02649006622516
43361	129	189.3046357615894
43364	139	189.66225165562915
43368	135	190.74834437086093
43386	110	200.04635761589404
43407	151	218.23841059602648
43425	242	237.66887417218544
43467	343	292.3841059602649
43475	344	302.12582781456956
43486	339	311.6887417218543
43494	349	316.3907284768212
43496	347	317.73509933774835
43500	354	320.1324503311258
43512	329	324.5430463576159
43515	335	324.6225165562914
43518	318	324.2384105960265
43521	307	323.87417218543044
43532	325	321.21854304635764
43541	317	317.5827814569536
43549	313	313.7682119205298
43558	267	308.841059602649
43560	273	307.79470198675494
43579	321	292.72185430463577
43588	307	285.8344370860927
43591	299	283.43046357615896
43598	305	278.4039735099338
43602	301	275.0993377483444
43618	274	262.88079470198676
43622	271	260.05960264900665
43624	265	258.58940397350995
43650	228	236.04635761589404
43656	220	228.25827814569536
43659	219	224.21192052980132
43663	214	219.08609271523179
43683	203	197.18543046357615
43693	201	187.56291390728478
43695	203	185.86092715231788
43708	177	175.66225165562915
43712	165	172.7682119205298
43752	144	148.41721854304635
43765	141	141.6291390728477
43779	141	135.0662251655629
43850	133	124.62913907284768
43870	120	130.7748344370861
43877	115	133.72847682119206
43895	110	143.4503311258278
43923	155	159.158940397351
43925	155	160.0728476821192
43944	203	169.1523178807947
43949	201	171.4437086092715
43960	208	176.04635761589404
43971	207	181.17218543046357
43973	207	181.68211920529802
43996	207	179.01986754966887
44008	202	172.7748344370861
44014	193	169.52980132450332
44031	170	158.5430463576159
44034	167	156.47682119205297
44061	106	137.17218543046357
44131	103	96.06622516556291
44151	102	94.27152317880795
44345	107	103.62251655629139
44375	101	110.6092715231788
44404	120	118.3907284768212
44408	122	119.43708609271523
44448	133	122.9271523178808
44462	137	121.83443708609272
44475	131	119.90728476821192
44477	131	119.45695364238411
44497	125	113.47019867549669
44508	114	109.13245033112582
44517	102	106.43708609271523
44622	102	98.29139072847683
44646	116	99.29139072847683
44691	109	93.29139072847683
44874	107	99.73509933774834
44926	102	95.17880794701986
44931	100	94.51655629139073
44940	104	93.40397350993378
44944	104	92.9271523178808
46073	141	181.91390728476821
46075	141	180.46357615894038
46100	175	171.56953642384107
46115	200	173.83443708609272
46148	213	176.7682119205298
46162	208	179.20529801324503
46218	157	195.52317880794703
46235	178	202.41059602649005
46258	224	213.80132450331126
46284	260	232.74172185430464
46287	260	234.20529801324503
46317	276	244.86092715231788
46342	252	251.6158940397351
46346	251	252.3774834437086
46351	245	253.4437086092715
46361	209	255.6953642384106
46371	215	258.44370860927154
46380	207	260.9801324503311
46387	262	262.887417218543
46390	259	263.6423841059603
46399	260	265.94039735099335
46402	263	266.8344370860927
46406	255	267.88079470198676
46413	254	269.18543046357615
46427	288	271.71523178807945
46429	290	271.8476821192053
46438	299	273.317880794702
46455	316	276.1655629139073
46490	290	251.88741721854305
46506	250	236.75496688741723
46515	233	227.96688741721854
46517	237	225.7814569536424
46523	229	219.2251655629139
46526	225	215.96026490066225
46531	190	210.50331125827816
46545	160	195.4503311258278
46548	138	192.2185430463576
46558	121	181.76158940397352
46600	150	142.13245033112582
46705	106	106.72847682119205
46735	104	98.03311258278146
48003	106	101.11920529801324
48016	115	105.23178807947019
48036	129	110.29139072847683
48041	129	111.36423841059603
48071	125	109.03311258278146
48535	137	129.32450331125827
48555	191	147.7814569536424
48621	167	172.66887417218544
48635	149	176.49006622516555
48651	137	179.2913907284768
48672	155	182.4503311258278
48684	186	184.52317880794703
48697	215	189.65562913907286
48730	210	204.8476821192053
48745	216	211.68211920529802
48756	228	213.6887417218543
48792	212	198.56953642384107
48807	204	192.4437086092715
48816	207	188.5496688741722
48819	204	187.41721854304635
48826	181	184.49668874172184
48843	146	175.3046357615894
48870	155	163.27152317880794
48873	155	162.79470198675497
48879	157	161.82781456953643
48882	158	161.41059602649005
48920	142	165.96026490066225
48950	181	172.27814569536423
48957	190	173.39735099337747
48959	193	173.66887417218544
48961	195	174.01324503311258
48968	204	174.81456953642385
48974	192	175.56953642384107
48978	202	175.88741721854305
48990	202	175.56953642384107
49043	173	152.66225165562915
49237	123	96.18543046357615
49313	119	99.3112582781457
49317	114	97.37086092715232
52181	102	116.84105960264901
52201	123	117.23178807947019
52209	113	117.82781456953643
52217	114	118.6092715231788
52228	102	119.43046357615894
52273	128	117.74172185430463
52287	136	113.34437086092716
52540	174	145.82119205298014
52593	186	160.17218543046357
52598	177	158.50993377483445
52616	170	145.17880794701986
52618	171	143.2317880794702
52648	115	108.94039735099338
54215	120	105.88079470198676
54276	140	120.05960264900662
54278	140	120.09271523178808
54310	114	128.81456953642385
54315	108	132.34437086092714
54360	149	173.56291390728478
54419	282	240.88079470198676
54424	284	246.12582781456953
54429	283	250.87417218543047
54439	274	256.42384105960264
54451	285	262.19867549668874
54459	283	264.81456953642385
54461	279	265.05298013245033
54477	282	268.7682119205298
54491	278	273.5298013245033
54504	246	277.95364238410593
54508	223	279.49668874172187
54513	224	281.58940397350995
54518	212	283.88079470198676
54526	235	286.64900662251654
54528	235	287.27152317880797
54538	266	288.92715231788077
54561	336	287.87417218543044
54611	295	275.34437086092714
54614	293	273.28476821192055
54617	291	270.8211920529801
54622	278	266.05960264900665
54637	239	248.83443708609272
54651	198	231.74172185430464
54656	204	225.9205298013245
54658	204	223.59602649006624
54667	183	212.9933774834437
54678	195	200.6225165562914
54702	138	178.49006622516555
54729	161	156.72847682119206
54733	165	153.09271523178808
56132	112	92.11920529801324
56170	113	97.21854304635761
56604	183	193.91390728476821
56668	335	280.9072847682119
56675	335	283.35099337748346
56684	338	287.35099337748346
56694	336	292.682119205298
56701	317	296.317880794702
56715	276	302.3708609271523
56723	286	304.2119205298013
56731	245	304.97350993377484
56735	237	305.1655629139073
56737	240	305.2317880794702
56739	240	305.2317880794702
56741	222	305.1456953642384
56743	222	305.0331125827815
56745	211	304.94039735099335
56748	219	304.8211920529801
56756	251	304.3377483443709
56763	284	303.72185430463577
56780	337	301.3377483443709
56789	348	299.5298013245033
56794	345	297.21854304635764
56809	336	285.7417218543046
57061	296	300.0927152317881
57068	300	315.8543046357616
57070	300	320.49668874172187
57073	291	327.5430463576159
57079	307	340.4569536423841
57085	307	351.18543046357615
57092	298	363.6953642384106
57103	349	382.41059602649005
57107	338	389.57615894039736
57116	367	405.49668874172187
57124	468	419.3377483443709
57127	476	424.3907284768212
57133	485	433.87417218543044
57142	503	446.5430463576159
57144	510	448.70198675496687
57146	517	450.57615894039736
57148	525	452.49668874172187
57150	527	454.5496688741722
57153	526	457.36423841059604
57158	523	461.4503311258278
57167	520	467.33112582781456
57183	536	468.49006622516555
57185	536	468.33112582781456
57192	544	466.41059602649005
57204	543	457.05960264900665
57213	511	447.56953642384104
57217	477	443.71523178807945
57224	445	436.1788079470199
57226	438	434.0132450331126
57228	432	431.87417218543044
57231	431	428.94039735099335
57244	367	417.97350993377484
57246	352	416.50331125827813
57258	322	406.7615894039735
57260	315	405.0066225165563
57266	297	399.6092715231788
57271	332	394.82781456953643
57274	338	391.9072847682119
57276	338	389.9006622516556
57286	333	379.4834437086093
57290	339	375.72185430463577
57292	352	373.92715231788077
57295	351	371.80132450331126
57297	351	370.6887417218543
57312	394	360.12582781456956
57319	403	354.42384105960264
57322	403	352.11920529801324
57342	402	337.0132450331126
57375	348	276.73509933774835
57412	200	199.6158940397351
57506	260	226.9205298013245
57561	376	305.63576158940396
57577	376	302.112582781457
57608	301	288.9006622516556
57610	301	287.682119205298
57624	209	280.36423841059604
57632	173	276.42384105960264
57634	170	275.3973509933775
57636	174	274.4569536423841
57653	198	267.8543046357616
57656	200	266.6887417218543
57661	217	264.8211920529801
57664	215	263.841059602649
57668	224	263.1523178807947
57677	258	262.88079470198676
57679	271	262.6754966887417
57681	271	262.5629139072848
57683	270	262.36423841059604
57685	269	262.12582781456956
57700	301	263.05960264900665
57703	302	264.27152317880797
57705	302	265.35099337748346
57731	314	267.34437086092714
57734	312	265.73509933774835
57736	312	264.4701986754967
57781	257	209.158940397351
57808	122	163.72185430463577
57953	103	135.79470198675497
57967	123	171.6225165562914
57969	125	177.19867549668874
57971	123	182.86092715231788
57973	122	188.72185430463577
57992	167	246.50331125827816
58009	286	298.0927152317881
58015	307	315.78145695364236
58017	306	321.56953642384104
58039	449	377.8344370860927
58059	498	423.70198675496687
58072	516	446.73509933774835
58081	523	455.3576158940397
58086	521	457.87417218543044
58106	482	459.8476821192053
58117	480	459.2119205298013
58120	480	458.9337748344371
58138	450	456.63576158940396
58145	411	456.8079470198675
58148	417	456.6423841059603
58151	413	456.34437086092714
58159	360	456.5496688741722
58163	358	456.9205298013245
58165	354	457.1655629139073
58180	417	460.43046357615896
58184	418	461.2384105960265
58186	427	461.4834437086093
58188	431	461.73509933774835
58201	459	461.0066225165563
58203	472	461.02649006622516
58210	490	460.94039735099335
58215	516	461.05298013245033
58222	504	462.2450331125828
58224	502	462.43046357615896
58229	521	462.3907284768212
58242	536	463.0132450331126
58244	536	463.1523178807947
58251	529	461.72847682119203
58253	532	460.66887417218544
58263	486	451.1920529801325
58276	472	432.42384105960264
58281	469	423.158940397351
58288	459	409.9139072847682
58311	364	366.9337748344371
58322	330	347.19867549668874
58328	298	336.35099337748346
58330	291	332.6026490066225
58338	258	318.7880794701987
58344	242	309.6225165562914
58352	188	297.3708609271523
58355	198	292.8211920529801
58365	219	277.95364238410593
58381	258	256.5430463576159
58397	263	239.95364238410596
58401	259	236.18543046357615
58403	251	234.25827814569536
58420	239	219.66887417218544
58879	132	113.88741721854305
58895	131	115.94039735099338
58899	135	115.6158940397351
58920	114	112.79470198675497
58926	111	111.82119205298014
59027	122	118.98675496688742
59043	125	125.17880794701986
59064	140	133.7019867549669
59068	148	135.16556291390728
59084	152	139.72185430463577
59091	149	140.89403973509934
59102	148	142.88079470198676
59120	153	147.39735099337747
59122	152	147.75496688741723
59124	153	148.0728476821192
59148	150	149.8476821192053
59160	143	149.33112582781456
59171	148	147.9271523178808
59179	157	146.7019867549669
59187	162	144.98675496688742
59189	161	144.59602649006624
59217	146	139.50993377483445
59220	149	138.6887417218543
59223	144	137.83443708609272
59246	129	134.1523178807947
59286	122	130.0794701986755
59288	124	129.96688741721854
59300	109	130.2913907284768
59323	129	137.0662251655629
59345	137	146.47682119205297
59362	139	153.74172185430464
59374	164	159.9337748344371
59380	172	162.90728476821192
59402	186	169.5496688741722
59408	180	169.39072847682118
59432	189	167.97350993377484
59447	192	167.08609271523179
59449	193	166.60927152317882
59461	185	164.96026490066225
59464	181	164.76158940397352
59490	127	161.6225165562914
59521	129	159.31788079470198
59524	127	158.91390728476821
59529	146	158.158940397351
59546	164	157.27152317880794
59577	181	165.27152317880794
59585	184	166.50993377483445
59597	175	168.841059602649
59619	176	173.88079470198676
59622	177	173.98013245033113
59639	163	176.34437086092714
59651	165	179.50993377483445
